Date,Title,Teaser,Date_Link
17.04.2020,"Kein Mangel an Masken in der Schweiz, Kanton Zürich erlässt Gewerbetreibenden unter Umständen einen Teil der Miete – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,17.04.2020
17.04.2020,Die Zahl der Coronavirus-Toten in Wuhan wird stark nach oben korrigiert: Das wirft Fragen auf,False,17.04.2020
17.04.2020,"Über 150 000 Tote weltweit, Italien verzeichnet rund 3500 Neuinfizierte innerhalb eines Tages – die neusten Entwicklungen zum Coronavirus weltweit",False,17.04.2020
17.04.2020,Bei der täglichen Medienkonferenz im Weissen Haus sind zwar immer auch Mediziner und Seuchenbekämpfer dabei. Doch Donald Trump lässt sie kaum zu Wort kommen und redet einfach zweieinhalb Stunden lang selbst,False,17.04.2020
17.04.2020,Wie ein Berner Familienbetrieb in der Corona-Krise zum Hersteller des gefragtesten Produkts der Schweiz wurde,False,17.04.2020
17.04.2020,Die Schweiz zählt aktuell mehr Todesfälle als bei einer schweren Grippewelle – und alles Weitere zum Coronavirus in 24 Grafiken,False,17.04.2020
17.04.2020,"Die Senioren können sich eigenverantwortlich vor dem Virus schützen: Solidarität mit den Jungen heisst, sich für eine Rückkehr zur Normalität einzusetzen",False,17.04.2020
16.04.2020,"Ausstieg aus dem Corona-Lockdown: Der Bundesrat sucht einen Mittelweg, bleibt dabei aber sehr vorsichtig und dirigistisch",False,16.04.2020
16.04.2020,Der Weg zurück zur Normalität wird lange dauern – der Bundesrat setzt auf eine Politik der sehr kleinen Schritte,False,16.04.2020
16.04.2020,"Coiffeursalons und Baumärkte werden geöffnet, Bars bleiben zu: Das bedeuten die gelockerten Vorschriften im Einzelnen",False,16.04.2020
16.04.2020,Die Jüngsten dürfen zuerst wieder in die Schule – doch die Unsicherheit bleibt,False,16.04.2020
16.04.2020,"Obligatorische Schulen sollen am 11. Mai Betrieb wieder aufnehmen, Paléo Festival ist abgesagt – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,16.04.2020
16.04.2020,SVP ist entsetzt über «mutlose Strategie» – wie Parteien und Branchen auf die Lockerungsschritte des Bundesrats reagieren,False,16.04.2020
16.04.2020,"Masken, Corona-Tests, Proximity-Tracing: Mit diesen Massnahmen will der Bundesrat den Weg aus dem Stillstand ermöglichen",False,16.04.2020
16.04.2020,So fuhr die Schweiz runter – und so werden die Massnahmen wieder gelockert,False,16.04.2020
16.04.2020,Hilfe für Selbständige: Der Bund beschliesst massive Ausweitung,False,16.04.2020
16.04.2020,"Millionenverluste und Patienten, die sich zu spät behandeln liessen – Spitäler sind froh, dass sie wieder alle operieren dürfen",False,16.04.2020
16.04.2020,Die Schweiz zählt mehr Todesfälle als bei einer schweren Grippewelle – und alles Weitere zum Coronavirus in 23 Grafiken,False,16.04.2020
15.04.2020,Wenig Covid-19-Patienten auf Schweizer Intensivstationen – kommt nun die Lockerung des Operationsverbots?,Viele Spitalbetten stehen seit Wochen leer. Jetzt wird klar: Auch die befürchtete Überlastung der Intensivstationen bleibt aus. Der Bundesrat könnte daher bald wieder mehr Eingriffe erlauben. Doch es gibt ein neues Problem: Wichtige Medikamente sind knapp.,15.04.2020
15.04.2020,Parlamentskommission und FDP fordern baldigen Ausstieg aus der Notsituation,False,15.04.2020
15.04.2020,Gartencenter und Baumärkte sollen zuerst wieder öffnen: Wie die Detailhändler den Ausstieg aus dem Lockdown planen,False,15.04.2020
15.04.2020,Die nationalrätliche Wirtschaftskommission fordert mehr Geld für Selbstständige und keine Eingriffe in das Mietrecht – die neusten Entwicklungen zum Coronavirus in der Schweiz,False,15.04.2020
15.04.2020,Deutschlands Exit-Plan: viele kleine Schritte und ein grosses bayrisches Ego,False,15.04.2020
15.04.2020,«Zerbrechlicher Zwischenerfolg»: Deutschland nimmt den Trippelpfad aus der Krise,False,15.04.2020
15.04.2020,"Bund und Länder empfehlen Schutzmasken in Geschäften, Schulbetrieb soll ab Mai schrittweise wieder aufgenommen werden – die neusten Entwicklungen zum Coronavirus in Deutschland",False,15.04.2020
15.04.2020,"Mehr Todesfälle denn je in Frankreich, Hoffnung in Italien – die neusten Entwicklungen zum Coronavirus weltweit",False,15.04.2020
15.04.2020,"Es geht jetzt nicht mehr darum, jede Infektion zu verhindern",False,15.04.2020
15.04.2020,Die Schweiz zählt mehr Todesfälle als bei einer schweren Grippewelle – und alles Weitere zum Coronavirus in 23 Grafiken,False,15.04.2020
15.04.2020,«Diese Rettungsaktionen sind widerlich und erbärmlich»,False,15.04.2020
14.04.2020,Gefährliche Leichen: Bestattungen in Zeiten von Corona,Der Umgang mit am Coronavirus Verstorbenen ist schweizweit sehr unterschiedlich. Dabei tragen Coronavirus-Infizierte auch nach dem Tod eine hohe Viruslast in sich.,14.04.2020
14.04.2020,Eine Situation wie diese hat der Chefarzt Bernhard Frey noch nie erlebt – warum auch das Universitäts-Kinderspital Zürich im Corona-Modus ist,False,14.04.2020
14.04.2020,"Ausserordentliche Session kostet rund 1,5 Millionen Franken, die Lage hat sich stabilisiert – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,14.04.2020
14.04.2020,"Wie das Coronavirus den französischen Präsidenten zwingt, sich von Grundsätzen seiner Politik zu verabschieden",False,14.04.2020
14.04.2020,"Zahl neuer Todesfälle in den USA ist vorerst rückläufig, Österreich lockert Massnahmen und öffnet einige Geschäfte – die neusten Entwicklungen zum Coronavirus weltweit",False,14.04.2020
14.04.2020,Der IMF erwartet die schlimmste Rezession seit der Grossen Depression,False,14.04.2020
14.04.2020,Staatsbetriebe sollen auf Kurzarbeit verzichten,False,14.04.2020
14.04.2020,«In der Wirtschaft sollen jegliche betriebliche Aktivitäten wieder erlaubt sein». Wie sich Avenir Suisse das Ende des Corona-Stillstands vorstellt,False,14.04.2020
13.04.2020,"Ein Mann pinkelt an einen Streifenwagen, ein Betrüger verkauft überteuerte Schutzmasken und zu viele Leute spielen Fussball: Das Oster-Protokoll der Stadtpolizei Zürich",False,13.04.2020
13.04.2020,In den USA wächst die Zahl der Toten weiter rasant – und alles Weitere zum Coronavirus in 21 Grafiken,False,13.04.2020
13.04.2020,"Deutlich weniger Neuinfektionen, Nidwalden meldet ersten Todesfall, Osterstau am Gotthard bleibt aus – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,13.04.2020
13.04.2020,Kein Ende der Krise in Sicht: Die Auferstehung der Weltwirtschaft dürfte länger als gedacht auf sich warten lassen,False,13.04.2020
13.04.2020,In den eigenen vier Wänden gefangen — mit der Ausgangssperre nimmt die häusliche Gewalt in vielen Ländern zu,False,13.04.2020
13.04.2020,Boris Johnson verlässt das Spital – doch nun droht Grossbritannien zum Land mit den meisten Corona-Toten Europas zu werden,False,13.04.2020
